,title,year,duration,genres,rating,synopsis,directors,stars
398,Greed,2020.0,119,"
Thriller            ",,"
GREED tells the story of an Indian man who gets deeper and deeper involved in the Australian gangland underworld. He only wants to get enough money to go back to homeland to rescue his ...                ",Jon-Claire Lee,"Asif Khan,Emma Jensen,Lorry D'Ercole,Robin Royce Queree"
399,Augustus,2020.0,45,"
Drama            ",,"
        ",Adam Jumba,"Jack Alcott,Malik Childs,Billy Costello,Kaylord Hill"
400,Hustle on Lombard,2020.0,76,"
Drama            ",,"
Two estranged brothers, one a drug addict, the other, a paranoid schizophrenic, struggle to face their demons in the streets of Baltimore.",Matt Torsell,"Michael Dandridge,Ham Mukasa,Cristina Sanchez,Jesse Marciniak"
401,Saved by Grace,2020.0,61,"
Comedy            ",3.4,"
        ",Nancy Bellany,"Nancy Bellany,Prudence Shaka Laka Boom,Art Corral,George Cyril"
402,Chhakda,2020.0,131,"
Comedy, Drama            ",,"
A girl runs away from her home to meet her lover for fear of marriage and meets a driver on a dark road and the two get into a bitter fight and the two fall in love with each other and return home together.",Uttar Kumar,"Uttar Kumar,Deepali Saini,Krishan Pal Bharat,Rajveer Singh Dangi"
403,Juvenile,2020.0,85,"
Drama            ",5.3,"
Juvenile is about two teenagers lived two different lives in Honiara, Solomon Islands. A film that portrays family, friendship and bad choices that needed a system to help Henry and Jimmy get back on knees.",Joseph Manemaka,"Moses Gabriel,Samuel Gifton,Kevin Ma'aria,Anil Nuia"
404,Meathook Massacre Part VI: Bloodline,2020.0,66,"
Horror            ",4.1,"
Bubba is back. And this time, its PERSONAL. Erik Anthony Russo joins the mix for film 6 of the MM franchise.",Jerimiah Douglas,"Tricia Adrianse,Amber Jenna Bohac,Jennii Caroline,Alex Cochran"
405,Dominio Vigente,2020.0,75,"
Drama            ",6.5,"
A Swiss-Chilean citizen travels to Chile to receive an inheritance in Mapuche territory, an emotional and dangerous journey.",Juan Mora Cid,"Alvaro Muñoz,Maria Porma,Joel Maripil,Luis Vitalino Grandón"
406,Barbara,2020.0,70,"
Comedy            ",,"
""Barbara"" is a Social Horror Comedy about a woman who uses social leverage to crash on a couple's couch and nearly destroys their marriage. Shot in 6 days for $1000, it is the first feature film to be shot on the iPhone 11 Pro",Robert Hagans,"Lauren Leone Baker,Courtney Dykstra,Marcus Ellison,Kaci Frick"
407,Navstrechu Mechte,2020.0,72,"
Drama            ",8.5,"
Katie is a rebellious teenager. She thinks that her mother does not understand and does not accept her, and family relations can no longer be restored. Therefore, Katie decides to drop ...                ",Irina Gobozashvili,"Olga Khokhlova,Katie Lashchenko,Vadim Mamaev,Emilia Shevchuk"
408,Time of Moulting,2020.0,80,"
Drama, History, Horror            ",5.3,"
The still life of a family in 57 pictures. Germany in the 1970ies. Stephanie is an intelligent and lively child. But she leads an isolated life with her parents, marked by the symbiotic ...                ",Sabrina Mertens,"Zelda Espenschied,Miriam Schiweck,Freya Kreutzkam,Bernd Wolf"
409,Julia muss sterben,2020.0,95,"
Comedy            ",6.7,"
What a curious plan of Lya. Putting sleeping pills in the morning tea of her father. Pulling the sleeping wheelchair user to the vegetable store of her brother and attending secretly the ...                ",Marco Gadge,"Sabrina Amali,Mohammad-Ali Behboudi,Uwe Dag Berlin,Michel Diercks"
410,Kung Fu Masters: Battle of the Zodiac,2020.0,60,"
Animation            ",7.0,"
The star gods send a young kung fu master and the chosen twelve to face their biggest threat of all: an evil monster who intends to conquer the world.",Leon Ding,"Ben Bostick,Brian Bullock,Paul 'Maxx' Rinehart,Toni Thompson"
411,Stardust,2020.0,88,"
Drama            ",,"
An outlaw convinces his well-established brother (a banker) and sister (a model) to make robbery in Paris and flee the country in a deadly road trip.",Raphael Buisson Enlas,"Dimitri Besicovitch,Ludovic Charles,Victoire Dauxerre,David Fournier"
412,Go Dante Go Go Go,2020.0,96,"
Comedy            ",6.3,"
The aspiring young film director Dante, will decide to challenge himself with an impossible filming task: to take part in the Definitive Short Film Festival in all its ten categories, one for every genre; from martial arts to documentary.",Alessio Nencioni,"Gabriele Carboncini,Giacomo Casali,Maria Pia De Sandro,Cosimo Desii"
